Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,7.5,196414008647,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,7.5,196414008647,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,8,196414008654,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,8,196414008654,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,8.5,196414008661,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,8.5,196414008661,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,9,196414008678,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,9,196414008678,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,9.5,196414008685,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,9.5,196414008685,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,10,196414008579,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,10,196414008579,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,10.5,196414008586,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,10.5,196414008586,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,11,196414008593,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,11,196414008593,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,11.5,196414008609,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,11.5,196414008609,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,12,196414008616,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,12,196414008616,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,13,196414008623,,,Bambu City Center,0,0,0,0,0
c36359,Men's ZERØGRAND Overtake 2 All-Terrain Running Shoe,Color,White-Harbor Mist,Width,Medium,Size,13,196414008623,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,7.5,194736776411,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,7.5,194736776411,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,8,194736776428,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,8,194736776428,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,8.5,194736776435,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,8.5,194736776435,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,9,194736776442,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,9,194736776442,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,9.5,194736776459,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,9.5,194736776459,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,10,194736776312,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,10,194736776312,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,10.5,194736776329,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,10.5,194736776329,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,11,194736776336,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,11,194736776336,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,11.5,194736776343,,,Bambu City Center,0,0,0,0,0
