Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,DISRESAL: estilo (product.metafields.custom.estilo),DISRESAL: gender (product.metafields.custom.gender),Cole Haan: patternId (product.metafields.custom.patternid),Cole Haan: prod_section_features_label (product.metafields.custom.prod_section_features_label),Cole Haan: prod_section_short_description (product.metafields.custom.prod_section_short_description),Cole Haan: relatedProducts (product.metafields.custom.relatedproducts),Cole Haan: size_chart (product.metafields.custom.size_chart),Cole Haan: styleId (product.metafields.custom.styleid),DISRESAL: U_Categoria (product.metafields.custom.u_categoria),DISRESAL: U_Descrip_Color (product.metafields.custom.u_descrip_color),DISRESAL: U_Genero (product.metafields.custom.u_genero),DISRESAL: U_NEW (product.metafields.custom.u_new),DISRESAL: U_Segmento (product.metafields.custom.u_segmento),DISRESAL: U_Zone (product.metafields.custom.u_zone),DISRESAL: variante_producto (product.metafields.global.variante_producto),DISRESAL: variates_color (product.metafields.global.variates_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Grupo de edad (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Material del calzado (product.metafields.shopify.footwear-material),Talla del calzado (product.metafields.shopify.shoe-size),Sexo objetivo (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / El Salvador,Price / El Salvador,Compare At Price / El Salvador,Status
w31612,,,,,,,,,Cuoio,,,Medium,,,11,,'196414547597,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31310,Women's Charlsie Loafers,"<ul>
<li>Leather upper in Black; goldtone hardware</li>
<li>High-traction molded rubber outsole; 45mm (1.7-inch) heel</li>
<li>GrandFeel foam footbed</li>
<li>Sheep leather lining</li>
</ul>",Cole Haan El Salvador,,Loafers,"",true,Color,Black,,Width,Medium,,Size,5,,'196414498905,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_b732eff6-7215-4e3e-bf1a-93e02e014f91.jpg?v=1726074677,1,W31310:BLACK LTR,false,,,,,,,,,,,,,,w27126,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,310.00,,active
w31310,,,,,,,,,Black,,,Medium,,,5.5,,'196414498912,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_5920e3d1-9133-4941-9608-5f431c977f22.jpg?v=1726074677,2,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,6,,'196414498929,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_c11539d1-7dad-4f8b-8a6c-4d3f984706be.jpg?v=1726074677,3,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,6.5,,'196414498936,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_3004d853-ba7e-4c72-bf08-3f759980a0fe.jpg?v=1726074677,4,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,7,,'196414498943,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_c2f278a2-b8d4-42e1-9b75-b1802c807022.jpg?v=1726074677,5,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,7.5,,'196414498950,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_f9f2cae5-5023-489b-a961-3c15fed1629d.jpg?v=1726074677,6,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,8,,'196414498967,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_0ef2cdbe-c677-437d-a5e9-b8a707775c88.jpg?v=1726074677,7,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,8.5,,'196414498974,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,9,,'196414498981,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,9.5,,'196414498998,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,10,,'196414498875,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,10.5,,'196414498882,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,11,,'196414498899,0.0,shopify,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31290,Women's Chrisee Slide Sandals,"<ul>
<li>Fit: For moderate to narrow width feet, we recommend sizing down ½ size.</li>
<li>Upper in Black leather and Natural canvas</li>
<li>FlowerFoam™ sole made with over 25 percent dandelion rubber</li>
<li>Cushioned GrandFeel footbed with extra padding at the heel</li>
</ul>",Cole Haan El Salvador,,Sandals,"BLACK LTR-NAT CANVAS, FOOTWEAR, New, OTHER, WFW",true,Color,Black-Natural,,Width,Medium,,Size,5,,'196414510294,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_00440755-2e63-4c80-842e-ddbc762c5850.jpg?v=1726074666,1,W31290:BLACK LTR/NAT CANVAS,false,,,,,,,,,,,,,,u06965,,,,,,,,WFW,BLACK LTR-NAT CANVAS,,,FOOTWEAR,OTHER,,,,,,,,,,kg,,,true,170.00,,active
w31290,,,,,,,,,Black-Natural,,,Medium,,,5.5,,'196414510300,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_17a2af2c-6c7b-4ac4-b4c1-9924b6cfbc63.jpg?v=1726074666,2,W31290:BLACK LTR/NAT CANVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,6,,'196414510317,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_0ad47758-50c3-4c8a-b97d-d17f471a87de.jpg?v=1726074666,3,W31290:BLACK LTR/NAT CANVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,6.5,,'196414510324,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_bc21f552-505d-4e61-b189-c31174edb089.jpg?v=1726074666,4,W31290:BLACK LTR/NAT CANVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,7,,'196414510331,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_2a0de7cf-5d3b-46d8-ba9b-d7e5a80a2d74.jpg?v=1726074666,5,W31290:BLACK LTR/NAT CANVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,7.5,,'196414510348,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_0d1b2745-5f73-4c12-97f8-b761c1362a4e.jpg?v=1726074666,6,W31290:BLACK LTR/NAT CANVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,8,,'196414510355,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,8.5,,'196414510362,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,9,,'196414510379,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,9.5,,'196414510386,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,10,,'196414510263,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,10.5,,'196414510270,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31290,,,,,,,,,Black-Natural,,,Medium,,,11,,'196414510287,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,Women's Chrisee Slide Sandals,"<ul>
<li>Patent leather upper in Fog Green</li>
<li>FlowerFoam™ outsole made with a minimum of 25 percent dandelion rubber</li>
<li>Cushioned Grandfeel footbed with extra padding at the heel</li>
<li>Cole Haan leather products support responsible manufacturing via the Leather Working Group</li>
</ul>",Cole Haan El Salvador,,Sandals,"FOG GREEN PATENT LTR, FOOTWEAR, New, OTHER, WFW",true,Color,Fog Green,,Width,Medium,,Size,5,,'196414510164,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_db7187c9-1e2b-4ffb-b6a8-73e7501e6d9d.jpg?v=1726074655,1,W31289:FOG GREEN PATENT LTR,false,,,,,,,,,,,,,,u06623,,,,,,,,WFW,FOG GREEN PATENT LTR,,,FOOTWEAR,OTHER,,,,,,,,,,kg,,,true,170.00,,active
w31289,,,,,,,,,Fog Green,,,Medium,,,5.5,,'196414510171,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_94b4855f-b278-4f7f-ae61-a6e06d90d467.jpg?v=1726074655,2,W31289:FOG GREEN PATENT LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,6,,'196414510188,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_b189effc-860b-43fc-a05c-8d4a0ba52f41.jpg?v=1726074655,3,W31289:FOG GREEN PATENT LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,6.5,,'196414510195,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_20bdb925-0800-48dc-8de2-c4da812f9b16.jpg?v=1726074655,4,W31289:FOG GREEN PATENT LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,7,,'196414510201,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_6f10523a-0e04-43c7-ab09-34cbefb32272.jpg?v=1726074655,5,W31289:FOG GREEN PATENT LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,7.5,,'196414510218,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_ae80ef45-4081-4095-bc82-35edbcb353f0.jpg?v=1726074655,6,W31289:FOG GREEN PATENT LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,8,,'196414510225,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
